,acc,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/gamma,config/params/total_games,config/params/game_x_axis,config/params/game_y_axis,config/params/game_width,config/params/game_height,config/params/cursor_y_axis,config/params/player_start_x,config/params/gate_size,config/params/gate_min_distance,config/params/gate_cushion,config/params/ngates,config/params/plot_score,config/params/target_acc,config/params/PGate,config/params/NGate,config/params/WallHit,config/params/PDir,config/params/NDir,config/params/PRange,config/params/NRange,config/params/display,config/params/speed,logdir
24,0.11499999999999999,1695432997,False,1,7b5f2_00024,2023-09-22_18-36-37,2387.459418773651,2387.459418773651,46391,Zacharys-MacBook-Pro.local,127.0.0.1,2387.459418773651,1,,0.5815359417125874,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00024
25,0.10750000000000004,1695434192,True,1,7b5f2_00025,2023-09-22_18-56-32,3086.8161747455597,3086.8161747455597,46386,Zacharys-MacBook-Pro.local,127.0.0.1,3086.8161747455597,1,,0.6662819627941262,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00025
26,0.07999999999999996,1695434179,True,1,7b5f2_00026,2023-09-22_18-56-19,2995.647332906723,2995.647332906723,46376,Zacharys-MacBook-Pro.local,127.0.0.1,2995.647332906723,1,,0.35758630760147814,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00026
27,0.09999999999999998,1695434365,True,1,7b5f2_00027,2023-09-22_18-59-25,3171.370945930481,3171.370945930481,46392,Zacharys-MacBook-Pro.local,127.0.0.1,3171.370945930481,1,,0.8482166902802497,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00027
28,0.13249999999999995,1695434499,False,1,7b5f2_00028,2023-09-22_19-01-39,3273.1862800121307,3273.1862800121307,46373,Zacharys-MacBook-Pro.local,127.0.0.1,3273.1862800121307,1,,0.43541208518919217,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00028
29,0.10250000000000004,1695434235,True,1,7b5f2_00029,2023-09-22_18-57-15,3007.026901960373,3007.026901960373,46398,Zacharys-MacBook-Pro.local,127.0.0.1,3007.026901960373,1,,0.4468090265056762,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00029
30,0.0675,1695434595,True,1,7b5f2_00030,2023-09-22_19-03-15,3330.087252855301,3330.087252855301,46374,Zacharys-MacBook-Pro.local,127.0.0.1,3330.087252855301,1,,0.11032831252923381,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00030
31,0.07499999999999996,1695434175,True,1,7b5f2_00031,2023-09-22_18-56-15,2908.4628469944,2908.4628469944,46378,Zacharys-MacBook-Pro.local,127.0.0.1,2908.4628469944,1,,0.31957837532027544,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00031
32,0.07499999999999996,1695434491,True,1,7b5f2_00032,2023-09-22_19-01-31,3189.875513076782,3189.875513076782,46393,Zacharys-MacBook-Pro.local,127.0.0.1,3189.875513076782,1,,0.6407124852687222,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00032
33,0.07499999999999996,1695434430,True,1,7b5f2_00033,2023-09-22_19-00-30,3112.201942920685,3112.201942920685,46385,Zacharys-MacBook-Pro.local,127.0.0.1,3112.201942920685,1,,0.4599230612140578,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00033
