,acc,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/decay_pt,config/params/total_games,config/params/game_x_axis,config/params/game_y_axis,config/params/game_width,config/params/game_height,config/params/cursor_y_axis,config/params/player_start_x,config/params/gate_size,config/params/gate_min_distance,config/params/gate_cushion,config/params/ngates,config/params/plot_score,config/params/target_acc,config/params/PGate,config/params/NGate,config/params/WallHit,config/params/PDir,config/params/NDir,config/params/PRange,config/params/NRange,config/params/display,config/params/speed,logdir
25,0.07750000000000001,1695513645,True,1,f4531_00025,2023-09-23_17-00-45,2665.141446828842,2665.141446828842,70666,Zacharys-MacBook-Pro.local,127.0.0.1,2665.141446828842,1,,6,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00025
26,0.10999999999999999,1695515820,False,1,f4531_00026,2023-09-23_17-37-00,4395.030245065689,4395.030245065689,70661,Zacharys-MacBook-Pro.local,127.0.0.1,4395.030245065689,1,,18,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00026
27,0.10250000000000004,1695515997,True,1,f4531_00027,2023-09-23_17-39-57,4555.562314987183,4555.562314987183,70658,Zacharys-MacBook-Pro.local,127.0.0.1,4555.562314987183,1,,3,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00027
28,0.14,1695516006,False,1,f4531_00028,2023-09-23_17-40-06,4501.330166101456,4501.330166101456,70654,Zacharys-MacBook-Pro.local,127.0.0.1,4501.330166101456,1,,2,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00028
29,0.13249999999999995,1695516093,False,1,f4531_00029,2023-09-23_17-41-33,4587.961364030838,4587.961364030838,70660,Zacharys-MacBook-Pro.local,127.0.0.1,4587.961364030838,1,,4,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00029
30,0.11750000000000005,1695515992,False,1,f4531_00030,2023-09-23_17-39-52,4430.925618886948,4430.925618886948,70672,Zacharys-MacBook-Pro.local,127.0.0.1,4430.925618886948,1,,14,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00030
31,0.10999999999999999,1695515711,False,1,f4531_00031,2023-09-23_17-35-11,4078.1306738853455,4078.1306738853455,70670,Zacharys-MacBook-Pro.local,127.0.0.1,4078.1306738853455,1,,3,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00031
32,0.13,1695515996,False,1,f4531_00032,2023-09-23_17-39-56,4347.998888969421,4347.998888969421,70650,Zacharys-MacBook-Pro.local,127.0.0.1,4347.998888969421,1,,9,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00032
33,0.08999999999999997,1695516095,True,1,f4531_00033,2023-09-23_17-41-35,4392.6548981666565,4392.6548981666565,70647,Zacharys-MacBook-Pro.local,127.0.0.1,4392.6548981666565,1,,11,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00033
34,0.135,1695516085,False,1,f4531_00034,2023-09-23_17-41-25,4381.638200044632,4381.638200044632,70668,Zacharys-MacBook-Pro.local,127.0.0.1,4381.638200044632,1,,20,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00034
35,0.09250000000000003,1695516020,True,1,f4531_00035,2023-09-23_17-40-20,4308.091901779175,4308.091901779175,70648,Zacharys-MacBook-Pro.local,127.0.0.1,4308.091901779175,1,,2,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00035
36,0.07499999999999996,1695515930,True,1,f4531_00036,2023-09-23_17-38-50,4203.528213977814,4203.528213977814,70659,Zacharys-MacBook-Pro.local,127.0.0.1,4203.528213977814,1,,13,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,f4531_00036
